id_sexo,sexo,id_jurisdiccion,jurisdiccion,anio,jurisdiccion_tasa_sifilis
3.0,Ambos sexos,200.0,Arg,2018.0,34.7
3.0,Ambos sexos,200.0,Arg,2019.0,56.1
3.0,Ambos sexos,200.0,Arg,2020.0,22.8
3.0,Ambos sexos,2.0,Caba,2018.0,37.8
3.0,Ambos sexos,2.0,Caba,2019.0,50.8
3.0,Ambos sexos,2.0,Caba,2020.0,19.8
3.0,Ambos sexos,6.0,Buenos Aires,2018.0,47.6
3.0,Ambos sexos,6.0,Buenos Aires,2019.0,79.0
3.0,Ambos sexos,6.0,Buenos Aires,2020.0,23.2
3.0,Ambos sexos,10.0,Catamarca,2018.0,11.0
3.0,Ambos sexos,10.0,Catamarca,2019.0,15.1
3.0,Ambos sexos,10.0,Catamarca,2020.0,10.4
3.0,Ambos sexos,22.0,Chaco,2018.0,32.4
3.0,Ambos sexos,22.0,Chaco,2019.0,89.7
3.0,Ambos sexos,22.0,Chaco,2020.0,41.4
3.0,Ambos sexos,26.0,Chubut,2018.0,18.4
3.0,Ambos sexos,26.0,Chubut,2019.0,23.2
3.0,Ambos sexos,26.0,Chubut,2020.0,14.4
3.0,Ambos sexos,14.0,Cordoba,2018.0,31.5
3.0,Ambos sexos,14.0,Cordoba,2019.0,34.0
3.0,Ambos sexos,14.0,Cordoba,2020.0,15.2
3.0,Ambos sexos,18.0,Corrientes,2018.0,15.2
3.0,Ambos sexos,18.0,Corrientes,2019.0,28.3
3.0,Ambos sexos,18.0,Corrientes,2020.0,26.4
3.0,Ambos sexos,30.0,Entre Rios,2018.0,89.8
3.0,Ambos sexos,30.0,Entre Rios,2019.0,123.1
3.0,Ambos sexos,30.0,Entre Rios,2020.0,39.0
3.0,Ambos sexos,34.0,Formosa,2018.0,7.6
3.0,Ambos sexos,34.0,Formosa,2019.0,14.3
3.0,Ambos sexos,34.0,Formosa,2020.0,26.1
3.0,Ambos sexos,38.0,Jujuy,2018.0,17.1
3.0,Ambos sexos,38.0,Jujuy,2019.0,40.3
3.0,Ambos sexos,38.0,Jujuy,2020.0,30.1
3.0,Ambos sexos,42.0,La Pampa,2018.0,78.3
3.0,Ambos sexos,42.0,La Pampa,2019.0,132.0
3.0,Ambos sexos,42.0,La Pampa,2020.0,162.9
3.0,Ambos sexos,46.0,La Rioja,2018.0,4.2
3.0,Ambos sexos,46.0,La Rioja,2019.0,16.7
3.0,Ambos sexos,46.0,La Rioja,2020.0,7.6
3.0,Ambos sexos,50.0,Mendoza,2018.0,41.0
3.0,Ambos sexos,50.0,Mendoza,2019.0,62.9
3.0,Ambos sexos,50.0,Mendoza,2020.0,28.6
3.0,Ambos sexos,54.0,Misiones,2018.0,10.6
3.0,Ambos sexos,54.0,Misiones,2019.0,44.3
3.0,Ambos sexos,54.0,Misiones,2020.0,18.3
3.0,Ambos sexos,58.0,Neuquen,2018.0,17.8
3.0,Ambos sexos,58.0,Neuquen,2019.0,33.3
3.0,Ambos sexos,58.0,Neuquen,2020.0,19.6
3.0,Ambos sexos,62.0,Rio Negro,2018.0,18.7
3.0,Ambos sexos,62.0,Rio Negro,2019.0,33.3
3.0,Ambos sexos,62.0,Rio Negro,2020.0,21.7
3.0,Ambos sexos,66.0,Salta,2018.0,19.5
3.0,Ambos sexos,66.0,Salta,2019.0,28.7
3.0,Ambos sexos,66.0,Salta,2020.0,18.5
3.0,Ambos sexos,70.0,San Juan,2018.0,36.8
3.0,Ambos sexos,70.0,San Juan,2019.0,61.5
3.0,Ambos sexos,70.0,San Juan,2020.0,41.6
3.0,Ambos sexos,74.0,San Luis,2018.0,46.4
3.0,Ambos sexos,74.0,San Luis,2019.0,90.0
3.0,Ambos sexos,74.0,San Luis,2020.0,84.0
3.0,Ambos sexos,78.0,Santa Cruz,2018.0,5.8
3.0,Ambos sexos,78.0,Santa Cruz,2019.0,10.1
3.0,Ambos sexos,78.0,Santa Cruz,2020.0,11.5
3.0,Ambos sexos,82.0,Santa Fe,2018.0,5.5
3.0,Ambos sexos,82.0,Santa Fe,2019.0,4.6
3.0,Ambos sexos,82.0,Santa Fe,2020.0,4.0
3.0,Ambos sexos,86.0,Santiago Del Estero,2018.0,18.3
3.0,Ambos sexos,86.0,Santiago Del Estero,2019.0,37.0
3.0,Ambos sexos,86.0,Santiago Del Estero,2020.0,17.8
3.0,Ambos sexos,94.0,Tierra Del Fuego,2018.0,22.4
3.0,Ambos sexos,94.0,Tierra Del Fuego,2019.0,29.0
3.0,Ambos sexos,94.0,Tierra Del Fuego,2020.0,15.6
3.0,Ambos sexos,90.0,Tucuman,2018.0,8.9
3.0,Ambos sexos,90.0,Tucuman,2019.0,17.0
3.0,Ambos sexos,90.0,Tucuman,2020.0,8.3
2.0,Mujeres,200.0,Arg,2018.0,39.5
2.0,Mujeres,200.0,Arg,2019.0,63.8
2.0,Mujeres,200.0,Arg,2020.0,26.7
2.0,Mujeres,2.0,Caba,2018.0,35.7
2.0,Mujeres,2.0,Caba,2019.0,45.3
2.0,Mujeres,2.0,Caba,2020.0,19.1
2.0,Mujeres,6.0,Buenos Aires,2018.0,53.9
2.0,Mujeres,6.0,Buenos Aires,2019.0,88.8
2.0,Mujeres,6.0,Buenos Aires,2020.0,27.0
2.0,Mujeres,10.0,Catamarca,2018.0,11.3
2.0,Mujeres,10.0,Catamarca,2019.0,24.3
2.0,Mujeres,10.0,Catamarca,2020.0,12.5
2.0,Mujeres,22.0,Chaco,2018.0,38.5
2.0,Mujeres,22.0,Chaco,2019.0,118.7
2.0,Mujeres,22.0,Chaco,2020.0,50.2
2.0,Mujeres,26.0,Chubut,2018.0,13.4
2.0,Mujeres,26.0,Chubut,2019.0,22.1
2.0,Mujeres,26.0,Chubut,2020.0,13.9
2.0,Mujeres,14.0,Cordoba,2018.0,31.2
2.0,Mujeres,14.0,Cordoba,2019.0,35.2
2.0,Mujeres,14.0,Cordoba,2020.0,14.9
2.0,Mujeres,18.0,Corrientes,2018.0,23.7
2.0,Mujeres,18.0,Corrientes,2019.0,37.8
2.0,Mujeres,18.0,Corrientes,2020.0,37.2
2.0,Mujeres,30.0,Entre Rios,2018.0,97.9
2.0,Mujeres,30.0,Entre Rios,2019.0,136.2
2.0,Mujeres,30.0,Entre Rios,2020.0,53.5
2.0,Mujeres,34.0,Formosa,2018.0,10.4
2.0,Mujeres,34.0,Formosa,2019.0,19.6
2.0,Mujeres,34.0,Formosa,2020.0,37.2
2.0,Mujeres,38.0,Jujuy,2018.0,21.5
2.0,Mujeres,38.0,Jujuy,2019.0,37.3
2.0,Mujeres,38.0,Jujuy,2020.0,25.6
2.0,Mujeres,42.0,La Pampa,2018.0,113.2
2.0,Mujeres,42.0,La Pampa,2019.0,211.1
2.0,Mujeres,42.0,La Pampa,2020.0,281.8
2.0,Mujeres,46.0,La Rioja,2018.0,5.2
2.0,Mujeres,46.0,La Rioja,2019.0,23.1
2.0,Mujeres,46.0,La Rioja,2020.0,7.6
2.0,Mujeres,50.0,Mendoza,2018.0,51.0
2.0,Mujeres,50.0,Mendoza,2019.0,72.9
2.0,Mujeres,50.0,Mendoza,2020.0,30.3
2.0,Mujeres,54.0,Misiones,2018.0,14.6
2.0,Mujeres,54.0,Misiones,2019.0,73.5
2.0,Mujeres,54.0,Misiones,2020.0,22.0
2.0,Mujeres,58.0,Neuquen,2018.0,15.7
2.0,Mujeres,58.0,Neuquen,2019.0,30.3
2.0,Mujeres,58.0,Neuquen,2020.0,19.8
2.0,Mujeres,62.0,Rio Negro,2018.0,19.4
2.0,Mujeres,62.0,Rio Negro,2019.0,30.3
2.0,Mujeres,62.0,Rio Negro,2020.0,22.1
2.0,Mujeres,66.0,Salta,2018.0,28.7
2.0,Mujeres,66.0,Salta,2019.0,27.0
2.0,Mujeres,66.0,Salta,2020.0,18.2
2.0,Mujeres,70.0,San Juan,2018.0,53.4
2.0,Mujeres,70.0,San Juan,2019.0,78.5
2.0,Mujeres,70.0,San Juan,2020.0,47.0
2.0,Mujeres,74.0,San Luis,2018.0,56.4
2.0,Mujeres,74.0,San Luis,2019.0,91.3
2.0,Mujeres,74.0,San Luis,2020.0,78.5
2.0,Mujeres,78.0,Santa Cruz,2018.0,5.9
2.0,Mujeres,78.0,Santa Cruz,2019.0,12.7
2.0,Mujeres,78.0,Santa Cruz,2020.0,8.4
2.0,Mujeres,82.0,Santa Fe,2018.0,5.8
